SubjectID,Age,Sex,Condition,BlockType,TrialBlock,TrialNumber,CurrGen,Bead,ItemLeft,ItemRight,SideChoisen,Prediction,Confidence,Correct,Reward,RT
SUBJ__12,34,F,1,urn,1,1,blue,blue,orange,blue,1,blue,0.08,NA,NA,3.6122210025787354
SUBJ__12,34,F,1,urn,1,2,blue,blue,orange,blue,1,blue,0.17,NA,NA,3.645991086959839
SUBJ__12,34,F,1,urn,1,3,blue,blue,orange,blue,1,blue,0.6,NA,NA,7.836871147155762
SUBJ__12,34,F,1,urn,1,4,blue,blue,orange,blue,1,blue,0.78,NA,NA,1.9221832752227783
SUBJ__12,34,F,1,urn,1,4,blue,NA,orange,blue,1,blue,0.78,1,10.0,NA
SUBJ__12,34,F,1,urn,2,1,orange,orange,blue,orange,1,orange,0.1,NA,NA,4.599759101867676
SUBJ__12,34,F,1,urn,2,2,orange,orange,blue,orange,1,orange,0.31,NA,NA,7.80014181137085
SUBJ__12,34,F,1,urn,2,3,orange,blue,blue,orange,1,orange,0.23,NA,NA,7.266832113265991
SUBJ__12,34,F,1,urn,2,4,orange,orange,blue,orange,1,orange,0.55,NA,NA,3.76482892036438
SUBJ__12,34,F,1,urn,2,5,orange,orange,blue,orange,1,orange,0.7,NA,NA,2.2748210430145264
SUBJ__12,34,F,1,urn,2,5,orange,NA,blue,orange,1,orange,0.7,1,10.0,NA
SUBJ__12,34,F,1,urn,3,1,orange,orange,blue,orange,1,orange,0.16,NA,NA,2.93121075630188
SUBJ__12,34,F,1,urn,3,2,orange,orange,blue,orange,1,orange,0.28,NA,NA,2.6412558555603027
SUBJ__12,34,F,1,urn,3,3,orange,blue,blue,orange,1,orange,0.25,NA,NA,3.4274938106536865
SUBJ__12,34,F,1,urn,3,4,orange,blue,blue,orange,None,None,0,NA,NA,5.633784055709839
SUBJ__12,34,F,1,urn,3,5,orange,orange,blue,orange,1,orange,0.18,NA,NA,2.6309831142425537
SUBJ__12,34,F,1,urn,3,5,orange,NA,blue,orange,1,orange,0.18,1,5.0,NA
SUBJ__12,34,F,1,urn,4,1,blue,blue,orange,blue,1,blue,0.19,NA,NA,2.6947011947631836
SUBJ__12,34,F,1,urn,4,2,blue,orange,orange,blue,1,blue,0.19,NA,NA,15.275561094284058
SUBJ__12,34,F,1,urn,4,2,blue,NA,orange,blue,1,blue,0.19,1,5.0,NA
SUBJ__12,34,F,1,urn,5,1,blue,blue,blue,orange,0,blue,0.12,NA,NA,3.7575340270996094
SUBJ__12,34,F,1,urn,5,1,blue,NA,blue,orange,0,blue,0.12,1,4.0,NA
SUBJ__12,34,F,1,urn,6,1,orange,orange,orange,blue,0,orange,0.52,NA,NA,2.2296359539031982
SUBJ__12,34,F,1,urn,6,2,orange,orange,orange,blue,0,orange,0.53,NA,NA,2.0649592876434326
SUBJ__12,34,F,1,urn,6,3,orange,orange,orange,blue,0,orange,0.84,NA,NA,1.597231149673462
SUBJ__12,34,F,1,urn,6,4,orange,blue,orange,blue,0,orange,0.84,NA,NA,1.8305740356445312
SUBJ__12,34,F,1,urn,6,4,orange,NA,orange,blue,0,orange,0.84,1,10.0,NA
SUBJ__12,34,F,1,urn,7,1,orange,orange,orange,blue,0,orange,0.26,NA,NA,6.796741724014282
SUBJ__12,34,F,1,urn,7,1,orange,NA,orange,blue,0,orange,0.26,1,7.0,NA
SUBJ__12,34,F,1,urn,8,1,orange,orange,blue,orange,1,orange,0.24,NA,NA,3.0062968730926514
SUBJ__12,34,F,1,urn,8,2,orange,orange,blue,orange,1,orange,0.38,NA,NA,1.9210619926452637
SUBJ__12,34,F,1,urn,8,3,orange,blue,blue,orange,1,orange,0.37,NA,NA,2.3979310989379883
SUBJ__12,34,F,1,urn,8,4,orange,orange,blue,orange,1,orange,0.66,NA,NA,1.8578250408172607
SUBJ__12,34,F,1,urn,8,5,orange,orange,blue,orange,1,orange,0.76,NA,NA,2.115548849105835
SUBJ__12,34,F,1,urn,8,5,orange,NA,blue,orange,1,orange,0.76,1,10.0,NA
SUBJ__12,34,F,1,urn,9,1,orange,orange,blue,orange,1,orange,0.15,NA,NA,2.229156017303467
SUBJ__12,34,F,1,urn,9,2,orange,orange,blue,orange,1,orange,0.37,NA,NA,1.8292090892791748
SUBJ__12,34,F,1,urn,9,2,orange,NA,blue,orange,1,orange,0.37,1,8.0,NA
SUBJ__12,34,F,1,urn,10,1,blue,orange,blue,orange,1,orange,0.25,NA,NA,2.079096794128418
SUBJ__12,34,F,1,urn,10,2,blue,blue,blue,orange,1,orange,0.12,NA,NA,5.830652952194214
SUBJ__12,34,F,1,urn,10,2,blue,NA,blue,orange,1,orange,0.12,0,-1.0,NA
SUBJ__12,34,F,1,urn,11,1,blue,orange,blue,orange,1,orange,0.19,NA,NA,2.0268611907958984
SUBJ__12,34,F,1,urn,11,2,blue,orange,blue,orange,1,orange,0.33,NA,NA,1.5213851928710938
SUBJ__12,34,F,1,urn,11,3,blue,orange,blue,orange,1,orange,0.67,NA,NA,1.5402100086212158
SUBJ__12,34,F,1,urn,11,3,blue,NA,blue,orange,1,orange,0.67,0,-7.0,NA
SUBJ__12,34,F,1,urn,12,1,orange,blue,blue,orange,0,blue,0.2,NA,NA,3.1241962909698486
SUBJ__12,34,F,1,urn,12,2,orange,orange,blue,orange,0,blue,0.19,NA,NA,4.7995429039001465
SUBJ__12,34,F,1,urn,12,3,orange,blue,blue,orange,0,blue,0.28,NA,NA,2.3646130561828613
SUBJ__12,34,F,1,urn,12,3,orange,NA,blue,orange,0,blue,0.28,0,-3.0,NA
SUBJ__12,34,F,1,urn,13,1,blue,blue,blue,orange,0,blue,0.15,NA,NA,4.53059983253479
SUBJ__12,34,F,1,urn,13,2,blue,blue,blue,orange,0,blue,0.26,NA,NA,1.7950811386108398
SUBJ__12,34,F,1,urn,13,3,blue,blue,blue,orange,0,blue,0.39,NA,NA,1.6635301113128662
SUBJ__12,34,F,1,urn,13,3,blue,NA,blue,orange,0,blue,0.39,1,8.0,NA
SUBJ__12,34,F,1,urn,14,1,blue,blue,blue,orange,0,blue,0.18,NA,NA,2.311795234680176
SUBJ__12,34,F,1,urn,14,2,blue,blue,blue,orange,0,blue,0.26,NA,NA,2.7540619373321533
SUBJ__12,34,F,1,urn,14,3,blue,orange,blue,orange,0,blue,0.26,NA,NA,1.921875
SUBJ__12,34,F,1,urn,14,4,blue,blue,blue,orange,0,blue,0.4,NA,NA,1.7735610008239746
SUBJ__12,34,F,1,urn,14,5,blue,blue,blue,orange,0,blue,0.7,NA,NA,1.724517822265625
SUBJ__12,34,F,1,urn,14,5,blue,NA,blue,orange,0,blue,0.7,1,10.0,NA
SUBJ__12,34,F,1,urn,15,1,orange,orange,orange,blue,0,orange,0.15,NA,NA,2.146411180496216
SUBJ__12,34,F,1,urn,15,1,orange,NA,orange,blue,0,orange,0.15,1,4.0,NA
SUBJ__12,34,F,1,urn,16,1,orange,orange,orange,blue,0,orange,0.14,NA,NA,3.796478033065796
SUBJ__12,34,F,1,urn,16,2,orange,orange,orange,blue,0,orange,0.24,NA,NA,1.3290340900421143
SUBJ__12,34,F,1,urn,16,3,orange,orange,orange,blue,0,orange,0.59,NA,NA,1.3628058433532715
SUBJ__12,34,F,1,urn,16,4,orange,orange,orange,blue,0,orange,0.82,NA,NA,1.396576166152954
SUBJ__12,34,F,1,urn,16,4,orange,NA,orange,blue,0,orange,0.82,1,10.0,NA
SUBJ__12,34,F,1,urn,17,1,blue,blue,orange,blue,1,blue,0.17,NA,NA,1.7802858352661133
SUBJ__12,34,F,1,urn,17,2,blue,blue,orange,blue,1,blue,0.28,NA,NA,1.6791062355041504
SUBJ__12,34,F,1,urn,17,2,blue,NA,orange,blue,1,blue,0.28,1,7.0,NA
SUBJ__12,34,F,1,urn,18,1,blue,blue,blue,orange,0,blue,0.15,NA,NA,3.048943042755127
SUBJ__12,34,F,1,urn,18,2,blue,blue,blue,orange,0,blue,0.32,NA,NA,1.7553422451019287
SUBJ__12,34,F,1,urn,18,2,blue,NA,blue,orange,0,blue,0.32,1,8.0,NA
SUBJ__12,34,F,1,urn,19,1,blue,orange,orange,blue,0,orange,0.2,NA,NA,2.5976529121398926
SUBJ__12,34,F,1,urn,19,2,blue,orange,orange,blue,0,orange,0.39,NA,NA,1.7802729606628418
SUBJ__12,34,F,1,urn,19,3,blue,blue,orange,blue,0,orange,0.39,NA,NA,3.4682230949401855
SUBJ__12,34,F,1,urn,19,4,blue,orange,orange,blue,0,orange,0.55,NA,NA,4.066823244094849
SUBJ__12,34,F,1,urn,19,4,blue,NA,orange,blue,0,orange,0.55,0,-6.0,NA
SUBJ__12,34,F,1,urn,20,1,orange,orange,blue,orange,1,orange,0.14,NA,NA,1.7780818939208984
SUBJ__12,34,F,1,urn,20,2,orange,orange,blue,orange,1,orange,0.31,NA,NA,1.5972731113433838
SUBJ__12,34,F,1,urn,20,3,orange,orange,blue,orange,1,orange,0.53,NA,NA,1.3302581310272217
SUBJ__12,34,F,1,urn,20,4,orange,orange,blue,orange,1,orange,0.81,NA,NA,1.379831075668335
SUBJ__12,34,F,1,urn,20,5,orange,blue,blue,orange,1,orange,0.81,NA,NA,1.431335210800171
SUBJ__12,34,F,1,urn,20,5,orange,NA,blue,orange,1,orange,0.81,1,10.0,NA
SUBJ__12,34,F,1,urn,21,1,blue,blue,blue,orange,0,blue,0.27,NA,NA,2.2873740196228027
SUBJ__12,34,F,1,urn,21,2,blue,blue,blue,orange,0,blue,0.36,NA,NA,1.3548762798309326
SUBJ__12,34,F,1,urn,21,3,blue,orange,blue,orange,0,blue,0.27,NA,NA,2.7579009532928467
SUBJ__12,34,F,1,urn,21,4,blue,orange,blue,orange,None,None,0,NA,NA,5.8630359172821045
SUBJ__12,34,F,1,urn,21,5,blue,blue,blue,orange,0,blue,0.3,NA,NA,1.9659368991851807
SUBJ__12,34,F,1,urn,21,5,blue,NA,blue,orange,0,blue,0.3,1,7.0,NA
SUBJ__12,34,F,1,urn,22,1,orange,orange,blue,orange,1,orange,0.17,NA,NA,2.1295650005340576
SUBJ__12,34,F,1,urn,22,2,orange,orange,blue,orange,1,orange,0.31,NA,NA,2.06105899810791
SUBJ__12,34,F,1,urn,22,3,orange,orange,blue,orange,1,orange,0.58,NA,NA,2.162619113922119
SUBJ__12,34,F,1,urn,22,4,orange,orange,blue,orange,1,orange,0.79,NA,NA,1.6958000659942627
SUBJ__12,34,F,1,urn,22,4,orange,NA,blue,orange,1,orange,0.79,1,10.0,NA
SUBJ__12,34,F,1,urn,23,1,blue,blue,blue,orange,0,blue,0.13,NA,NA,2.3286468982696533
SUBJ__12,34,F,1,urn,23,2,blue,blue,blue,orange,0,blue,0.31,NA,NA,1.5456907749176025
SUBJ__12,34,F,1,urn,23,2,blue,NA,blue,orange,0,blue,0.31,1,8.0,NA
SUBJ__12,34,F,1,urn,24,1,blue,blue,blue,orange,0,blue,0.18,NA,NA,1.4616448879241943
SUBJ__12,34,F,1,urn,24,2,blue,blue,blue,orange,0,blue,0.37,NA,NA,1.1614711284637451
SUBJ__12,34,F,1,urn,24,3,blue,blue,blue,orange,0,blue,0.55,NA,NA,1.5639889240264893
SUBJ__12,34,F,1,urn,24,4,blue,blue,blue,orange,0,blue,0.75,NA,NA,1.3581488132476807
SUBJ__12,34,F,1,urn,24,4,blue,NA,blue,orange,0,blue,0.75,1,10.0,NA
SUBJ__12,34,F,1,urn,25,1,blue,orange,orange,blue,0,orange,0.23,NA,NA,2.0286388397216797
SUBJ__12,34,F,1,urn,25,1,blue,NA,orange,blue,0,orange,0.23,0,-2.0,NA
SUBJ__12,34,F,1,urn,26,1,orange,orange,orange,blue,0,orange,0.22,NA,NA,1.4956731796264648
SUBJ__12,34,F,1,urn,26,2,orange,orange,orange,blue,0,orange,0.37,NA,NA,1.4315681457519531
SUBJ__12,34,F,1,urn,26,2,orange,NA,orange,blue,0,orange,0.37,1,8.0,NA
SUBJ__12,34,F,1,urn,27,1,blue,blue,blue,orange,0,blue,0.16,NA,NA,1.6492841243743896
SUBJ__12,34,F,1,urn,27,2,blue,orange,blue,orange,None,None,0,NA,NA,2.530026912689209
SUBJ__12,34,F,1,urn,27,3,blue,blue,blue,orange,0,blue,0.19,NA,NA,1.5970268249511719
SUBJ__12,34,F,1,urn,27,4,blue,orange,blue,orange,None,None,0,NA,NA,2.6291611194610596
SUBJ__12,34,F,1,urn,27,4,blue,NA,blue,orange,None,None,0,0,0,NA
SUBJ__12,34,F,1,urn,28,1,blue,blue,orange,blue,1,blue,0.16,NA,NA,1.794198989868164
SUBJ__12,34,F,1,urn,28,2,blue,orange,orange,blue,None,None,0,NA,NA,1.619312047958374
SUBJ__12,34,F,1,urn,28,2,blue,NA,orange,blue,None,None,0,0,0,NA
SUBJ__12,34,F,1,urn,29,1,orange,orange,blue,orange,1,orange,0.27,NA,NA,1.3725690841674805
SUBJ__12,34,F,1,urn,29,1,orange,NA,blue,orange,1,orange,0.27,1,7.0,NA
SUBJ__12,34,F,1,urn,30,1,orange,orange,blue,orange,1,orange,0.16,NA,NA,1.3448848724365234
SUBJ__12,34,F,1,urn,30,2,orange,orange,blue,orange,1,orange,0.4,NA,NA,1.0949671268463135
SUBJ__12,34,F,1,urn,30,3,orange,orange,blue,orange,1,orange,0.57,NA,NA,1.395043134689331
SUBJ__12,34,F,1,urn,30,3,orange,NA,blue,orange,1,orange,0.57,1,9.0,NA
SUBJ__12,34,F,1,urn,31,1,blue,blue,orange,blue,1,blue,0.13,NA,NA,2.2456157207489014
SUBJ__12,34,F,1,urn,31,2,blue,blue,orange,blue,1,blue,0.35,NA,NA,1.195694923400879
SUBJ__12,34,F,1,urn,31,3,blue,blue,orange,blue,1,blue,0.69,NA,NA,2.129763126373291
SUBJ__12,34,F,1,urn,31,3,blue,NA,orange,blue,1,blue,0.69,1,10.0,NA
SUBJ__12,34,F,1,urn,32,1,orange,orange,orange,blue,0,orange,0.22,NA,NA,2.56115984916687
SUBJ__12,34,F,1,urn,32,2,orange,orange,orange,blue,0,orange,0.33,NA,NA,1.49570894241333
SUBJ__12,34,F,1,urn,32,2,orange,NA,orange,blue,0,orange,0.33,1,8.0,NA
SUBJ__12,34,F,1,urn,33,1,blue,blue,blue,orange,0,blue,0.2,NA,NA,2.2727670669555664
SUBJ__12,34,F,1,urn,33,2,blue,blue,blue,orange,0,blue,0.4,NA,NA,1.3118832111358643
